date,facebook,google,youtube,bmw,amazon,iphone,apple,samsung,btc,twitter,netflix,disney,bbc,trump,ebay,windows,euro,china,xiaomi,microsoft,btc2eur
2019-06-01 20:00:00,93.0,56.0,68.17390999999999,5.5490394,24.532595,14.6027355,7.8489704,11.850406,0.30780277,11.696505,12.374563,4.2967234,15.91379,3.9784474,9.946117999999998,5.5946918,4.7339697,3.3352969,2.9370525,1.7192503,7638.27607883
2019-06-01 21:00:00,95.0,59.0,71.291664,5.6072097,24.78977,15.936279999999998,8.62434,15.33216,0.316127,14.383779,14.037182,4.562084,13.686253,4.0732894,9.380909,5.6779184,4.4994825999999986,3.7495687000000006,3.2562046,1.8090025,7649.513629000001
2019-06-01 22:00:00,94.0,59.0,71.291664,5.544907599999998,25.876234,17.558874,9.559831,13.02115,0.4822648,14.7894535,15.324012,5.167399400000001,9.834728,4.6673284000000015,9.075361,6.2231045,3.8894403,4.3339477,3.110245,1.9253898,7688.41184048
2019-06-01 23:00:00,91.0,57.0,69.84506999999999,4.7086563,24.131865,16.774588,9.132832,11.967158,0.46027532,13.194559,15.562814,5.0748305,6.3435383000000005,4.440477,7.5241413,5.797289,2.951347,4.4270205,2.8037798,1.9051324,7683.77828547
2019-06-02 00:00:00,88.0,56.0,70.608696,4.760136599999999,27.20078,19.380556,10.435684,13.548081,0.5347927,14.082874,18.972761,5.867864,5.1343812999999985,4.9510107,7.7801595,6.365585,2.6423182,4.825103,2.8632479,2.0507045,7660.01339083
2019-06-02 01:00:00,87.0,57.0,71.65714,3.9809523,24.498169,17.454945000000002,9.309304,12.249084,0.47723705,12.090005,17.521748000000002,5.256524,3.942393,4.435192,7.957256299999999,6.000554,2.2224274,4.778218700000001,2.723071,2.0516288,7669.69043362
2019-06-02 02:00:00,85.0,57.0,71.86957,4.0376163,26.580973,19.178677,10.116224,14.271103,0.5285594,13.037798,18.48643,5.448632,4.5405264,4.7221475,6.9443345,6.2499013,2.122608,4.9527519999999985,2.971651,2.0881872,7669.38493385
2019-06-02 03:00:00,82.0,56.0,70.608696,4.0118575,24.73979,18.387682,9.51087,14.714931,0.5255331999999999,13.839042,15.95334,4.805223000000002,5.729304,4.6204066,6.786222,6.4974465,2.2491162,4.873085,3.2291527,2.1669314,7661.4396598
2019-06-02 04:00:00,80.0,56.0,70.608696,4.0118575,23.068182,17.384716,8.797086,15.439782999999998,0.5263561999999999,12.8080015,12.999166,4.014448000000002,6.3866224,3.8319733,6.670472,6.3866224,2.5305482999999995,4.5790877,3.222321,2.0655904,7655.56898437
2019-06-02 05:00:00,79.0,56.0,70.608696,4.0118575,20.367893,15.430222,7.522233,15.2079935,0.4853615,11.163314,9.542833,2.8808553,8.303641,3.0503173,6.763747,6.1006345999999985,3.0503173,3.812896700000001,3.0503173,1.7640389,7669.76033381
